Date,Close,Volume,Open,High,Low,12 EMA,26 EMA,MACD,9 EMA MACD,Histogram
11/07/2023,181.82,70529970,179.18,182.44,178.97,175.6878136,175.3683717,0.319441843,-0.784967613,1.104409457
11/08/2023,182.89,49340280,182.35,183.45,181.59,176.7958423,175.9255294,0.870312873,-0.453911516,1.324224389
11/09/2023,182.41,53763540,182.96,184.12,181.81,177.6595588,176.4058606,1.253698292,-0.112389554,1.366087846
11/10/2023,186.4,66177920,183.97,186.565,183.53,179.0042421,177.1461672,1.858074921,0.281703341,1.57637158
11/13/2023,184.8,43627520,185.82,186.03,184.21,179.8958972,177.7131178,2.182779403,0.661918553,1.52086085
11/14/2023,187.44,60108380,187.7,188.11,186.3,181.0565284,178.4336276,2.622900814,1.054115005,1.568785808
11/15/2023,188.01,53790500,187.845,189.5,187.78,182.1262932,179.1429885,2.983304758,1.439952956,1.543351803
11/16/2023,189.71,54412920,189.57,190.96,188.65,183.2930174,179.9257301,3.367287282,1.825419821,1.541867461
11/17/2023,189.69,50941400,190.25,190.38,188.57,184.2771685,180.6490093,3.628159205,2.185967698,1.442191507
11/20/2023,191.45,46538610,189.89,191.905,189.88,185.3806811,181.4490827,3.931598355,2.535093829,1.396504526
11/21/2023,190.64,38134490,191.41,191.52,189.74,186.1898071,182.1298914,4.059915658,2.840058195,1.219857463
11/22/2023,191.31,39630010,191.49,192.93,190.825,186.977529,182.8098994,4.167629605,3.105572477,1.062057128
11/24/2023,189.97,24048340,190.87,190.9,189.25,187.4379092,183.3402773,4.097631932,3.303984368,0.793647564
11/27/2023,189.79,40552610,189.92,190.67,188.9,187.7997693,183.8180345,3.981734817,3.439534458,0.542200359
11/28/2023,190.4,38415420,189.78,191.08,189.4,188.1998048,184.3055875,3.894217307,3.530471028,0.363746279
11/29/2023,189.37,43014220,190.9,192.09,188.97,188.3798348,184.6807292,3.69910567,3.564197956,0.134907714
11/30/2023,189.95,48794370,189.84,190.32,188.19,188.6213987,185.0710455,3.550353183,3.561429001,-0.011075818
12/01/2023,191.24,45704820,190.33,191.56,189.23,189.0242604,185.5280051,3.49625533,3.548394267,-0.052138937
12/04/2023,189.43,43389520,189.98,190.05,187.4511,189.0866819,185.8170418,3.269640142,3.492643442,-0.2230033
12/05/2023,193.42,66628400,190.21,194.4,190.18,189.7533462,186.3802239,3.373122372,3.468739228,-0.095616856
12/06/2023,192.32,41089740,194.45,194.76,192.11,190.148216,186.8202073,3.328008764,3.440593135,-0.112584371
12/07/2023,194.27,47477660,193.63,195,193.59,190.7823367,187.3720438,3.410292875,3.434533083,-0.024240208
12/08/2023,195.71,53406360,194.2,195.99,193.67,191.5404387,187.9896702,3.550768541,3.457780175,0.092988367
12/11/2023,193.18,60943700,193.11,193.49,191.42,191.7926789,188.374139,3.418539864,3.449932113,-0.031392249
12/12/2023,194.71,52696900,193.08,194.72,191.721,192.2414975,188.8434621,3.39803546,3.439552782,-0.041517322
12/13/2023,197.96,70404180,195.09,198,194.85,193.1212671,189.5187612,3.602505964,3.472143418,0.130362546
12/14/2023,198.11,66831570,198.02,199.62,196.16,193.8887645,190.1551492,3.733615266,3.524437788,0.209177478
12/15/2023,197.57,128538400,197.53,198.3999,197,194.4551084,190.7043974,3.750710983,3.569692427,0.181018556
12/18/2023,195.89,55751860,196.09,196.63,194.39,194.675861,191.0885162,3.587344825,3.573222906,0.014121918
12/19/2023,196.94,40714050,196.16,196.95,195.89,195.0241901,191.5219594,3.502230657,3.559024457,-0.056793799
12/20/2023,194.83,52242820,196.9,197.68,194.83,194.9943147,191.7669994,3.227315219,3.492682609,-0.26536739
12/21/2023,194.68,46482550,196.1,197.08,193.5,194.9459586,191.9827773,2.963181298,3.386782347,-0.423601049
12/22/2023,193.6,37149570,195.18,195.41,192.97,194.738888,192.1025715,2.636316473,3.236689172,-0.600372699
12/26/2023,193.05,28919310,193.61,193.89,192.83,194.4790591,192.1727514,2.306307662,3.05061287,-0.744305208
12/27/2023,193.15,48087680,192.49,193.5,191.09,194.2745885,192.2451402,2.02944825,2.846379946,-0.816931696
12/28/2023,193.58,34049900,194.14,194.66,193.17,194.1677287,192.3440187,1.823709984,2.641845954,-0.81813597
12/29/2023,192.53,42672150,193.9,194.4,191.725,193.9157704,192.3577951,1.557975331,2.425071829,-0.867096498
01/02/2024,185.64,82488670,187.15,188.44,183.885,192.642575,191.8601807,0.782394331,2.09653633,-1.314141998
01/03/2024,184.25,58414460,184.22,185.88,183.43,191.3514096,191.2964636,0.054946035,1.688218271,-1.633272236
01/04/2024,181.91,71983570,182.15,183.0872,180.88,189.898885,190.60117,-0.702284922,1.210117632,-1.912402554
01/05/2024,181.18,62379660,181.99,182.76,180.17,188.5575181,189.9033055,-1.34578741,0.698936624,-2.044724034
01/08/2024,185.56,59144470,182.085,185.6,181.5,188.0963615,189.5815792,-1.485217708,0.262105757,-1.747323465
01/09/2024,185.14,42841810,183.92,185.15,182.73,187.6415366,189.2525733,-1.611036686,-0.112522731,-1.498513954
01/10/2024,186.19,46792910,184.35,186.4,183.92,187.4182233,189.025716,-1.607492732,-0.411516731,-1.195976
01/11/2024,185.59,49128410,186.54,187.05,183.62,187.1369582,188.7712186,-1.634260372,-0.65606546,-0.978194912
01/12/2024,185.92,40477780,186.06,186.74,185.19,186.9497338,188.5600172,-1.610283334,-0.846909034,-0.763374299
01/16/2024,183.63,65603040,182.16,184.26,180.934,186.4390056,188.1948307,-1.75582516,-1.028692259,-0.727132901
