Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
30/09/2022,7.01,7.295,6.855,6.93,13325030,0.016,0.038,0.0472,0.04442
03/10/2022,7.1,7.48,6.66,7.47,18285920,0.058,0.035,0.0522,0.04468
05/10/2022,8.55,8.84,8.095,8.49,16018280,0.099,0.057,0.05555,0.04804
06/10/2022,8.465,9.17,8.35,8.83,19532900,0.006,0.045,0.05345,0.04744
07/10/2022,8.48,8.8186,8.4,8.69,14305190,0.098,0.051,0.0587,0.04814
10/10/2022,8.74,9.42,8.555,9.09,19635100,0.078,0.065,0.0563,0.04926
11/10/2022,9.21,9.23,8.24,8.78,16169830,0.068,0.066,0.05135,0.04834
12/10/2022,8.74,8.81,8.09,8.53,12904970,0.006,0.056,0.0503,0.04814
13/10/2022,8.03,9.01,7.83,8.71,19434900,0.003,0.042,0.04855,0.04566
14/10/2022,8.78,8.97,7.23,7.24,24643140,0.072,0.052,0.04925,0.04736
17/10/2022,7.56,7.96,7.355,7.75,15212250,0,0.051,0.0487,0.04602
18/10/2022,8.14,8.26,7.535,7.83,12989820,0.01,0.041,0.04755,0.0444
19/10/2022,7.71,7.718,7.32,7.39,11526340,-0.066,0.022,0.0403,0.04092
20/10/2022,7.4,7.965,7.28,7.41,13573260,0.086,0.033,0.0401,0.04202
25/10/2022,7.08,7.69,7.07,7.48,17611570,0.038,0.038,0.0398,0.04122
26/10/2022,7.33,8.16,7.25,7.69,12848700,0.074,0.039,0.0406,0.04232
27/10/2022,7.81,8.245,7.7,7.81,13766280,0.143,0.041,0.0489,0.04474
28/10/2022,7.8,8.0593,7.585,8.01,15489870,0.018,0.043,0.0477,0.04298
01/11/2022,8.78,9.0192,8.755,8.94,12394620,0.094,0.055,0.0479,0.04166
02/11/2022,8.89,9.205,8.41,8.63,18197680,0.087,0.077,0.0494,0.0437
03/11/2022,7.45,9.34,7.2401,9.34,33515280,0.04,0.071,0.0506,0.04436
04/11/2022,9.29,9.71,8.92,9.39,20116480,0.063,0.074,0.05085,0.04494
07/11/2022,9.41,9.67,8.9284,9.41,10806170,0.108,0.071,0.0513,0.0465
08/11/2022,9.43,9.855,8.78,9.58,15198850,0.053,0.076,0.05365,0.04706
10/11/2022,9.33,10,9.215,9.96,15777940,0.127,0.073,0.0551,0.048
11/11/2022,9.76,10.6,9.5,10.33,15066310,0.302,0.11,0.0663,0.05294
14/11/2022,10.06,11.04,10.0402,10.94,14722220,0.16,0.13,0.0709,0.05754
15/11/2022,11.28,12.0168,11.15,11.84,16118250,0.208,0.144,0.081,0.06178
16/11/2022,11.6,11.68,10.71,10.94,13986350,0.033,0.141,0.0825,0.06106
22/11/2022,9.53,9.72,9.33,9.65,10177490,0.006,0.137,0.0792,0.06022
23/11/2022,9.784,10.0584,9.67,10.03,7025911,0.088,0.132,0.0836,0.06208
29/11/2022,10.31,10.86,10.1,10.49,7915064,-0.005,0.086,0.08285,0.06282
30/11/2022,10.422,11.39,10.14,11.38,11759260,0.026,0.06,0.08745,0.0627
