Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
28/09/2023,30.23,31.1,29.91,30.71,8284620,0.089,0.057,0.08415,0.10844
29/09/2023,31.19,31.89,31.19,31.39,8208234,0.092,0.056,0.085,0.10822
03/10/2023,30.03,30.26,29.095,29.32,8491422,0.076,0.083,0.0819,0.10788
04/10/2023,29.63,29.66,28.7731,29.44,7753663,0.106,0.099,0.0814,0.1074
05/10/2023,29.27,29.37,28.43,28.74,8116409,-0.037,0.088,0.0752,0.10546
09/10/2023,29.2,29.795,28.95,29.7,7368826,0.007,0.077,0.06415,0.10274
10/10/2023,31.04,31.66,29.73,30.02,22716610,0.067,0.073,0.05975,0.1019
12/10/2023,30.24,30.419,28.9,29.05,10376960,0.048,0.068,0.05525,0.10042
16/10/2023,28,28.5485,27.07,28.38,13171040,0.092,0.051,0.05335,0.1007
17/10/2023,27.99,29.34,27.94,28.97,9133515,0.034,0.045,0.0524,0.09952
20/10/2023,27.3,27.6715,26.915,27.17,7307439,0.071,0.04,0.0532,0.0988
23/10/2023,26,26.8971,25.61,26.36,10460300,0.054,0.063,0.05255,0.09772
24/10/2023,26.76,27.8,26.75,27.45,7998150,0.186,0.08,0.0635,0.09864
26/10/2023,25.62,26.085,25.2789,25.9,9604618,0.056,0.081,0.0624,0.09664
27/10/2023,26.34,26.45,25.49,25.54,6117273,0.151,0.089,0.06515,0.09658
31/10/2023,25.24,25.67,24.8399,25.37,4720303,0.122,0.099,0.0664,0.09614
01/11/2023,25.29,25.45,24.33,25.08,6840529,0.078,0.1,0.07025,0.09448
02/11/2023,26.23,26.94,26.02,26.05,9559289,0.063,0.101,0.06945,0.09062
03/11/2023,26.58,28.1397,26.58,27.64,11546260,0.083,0.086,0.0736,0.09038
06/11/2023,28.37,28.49,25.555,25.81,13082990,0.051,0.086,0.07445,0.0887
08/11/2023,26.99,27.53,25.935,26.06,13380000,0.079,0.075,0.07395,0.0885
09/11/2023,27,27.18,25.17,25.24,25064370,0.046,0.075,0.07165,0.08662
10/11/2023,22.4,27.15,22.2,27.01,51851960,0.054,0.065,0.07055,0.08446
13/11/2023,26.42,28.48,26.39,28.16,25685620,0.008,0.064,0.06565,0.08332
