Date,Open,High,Low,Close/Last,Volume
07/10/2022,56.59,56.7587,53.55,53.72,3034619
10/10/2022,53.74,53.96,51.28,52.02,3029611
11/10/2022,52.3,52.49,49.9,50.76,4754236
12/10/2022,50.81,51.4,48.85,50.77,4053964
13/10/2022,48.45,52.08,47.54,51.41,4364716
14/10/2022,52.355,52.89,49.05,49.12,2598287
17/10/2022,51.05,53.36,50.26,52.03,3545550
18/10/2022,54.35,56.27,53.4,54.41,4392565
19/10/2022,53.7,55.49,53.0351,53.83,2925347
20/10/2022,54,56.37,53.6335,54.4,2741508
21/10/2022,53.66,55.08,51.78,55.01,3396152
24/10/2022,54.41,55.04,52.37,54.71,2321558
25/10/2022,55.64,58.35,55.49,58.31,3390610
26/10/2022,56.314,59.74,56.27,56.98,2523163
27/10/2022,57.52,58.46,56.295,56.53,2775848
28/10/2022,56.032,57.39,55.16,57.29,2320999
31/10/2022,57.68,57.82,55.57,56.12,3486781
01/11/2022,58.12,59.13,54.94,55,2291689
02/11/2022,54.73,54.86,50.85,50.93,3300742
03/11/2022,49.97,51.0512,48.46,50.15,4063859
04/11/2022,50,50.12,44.1204,45.02,7520725
07/11/2022,47.78,47.82,45.21,47.24,5522104
08/11/2022,47.69,49.41,46.03,47.7,3913199
09/11/2022,47.19,47.51,45.15,45.51,3532548
10/11/2022,49.01,51.99,48.29,49.25,6759369
11/11/2022,49.535,54.82,49.05,54.35,6175399
14/11/2022,53.345,54.02,51.17,51.41,4434179
15/11/2022,54.18,55.43,52.815,53.42,3706661
16/11/2022,51.79,52.31,50.07,50.42,2885022
17/11/2022,48.48,50.34,48,49.07,3112079
18/11/2022,50.42,50.55,48.29,49.86,10568530
21/11/2022,49.23,49.53,47.704,48.29,3017860
22/11/2022,47.73,48.35,46.775,47.97,2640423
23/11/2022,48.31,51.16,47.5,50.74,3558705
25/11/2022,50.31,50.47,49.53,50.09,1118929
28/11/2022,49.65,51.28,49.4,50.2,5520099
29/11/2022,50.08,52.49,50.08,51.25,5774549
30/11/2022,49.56,53.7133,49.01,53.32,8750988
01/12/2022,61.955,67.6199,61.37,67.43,20131520
02/12/2022,65.5,66.94,63.4,65.08,6615647
05/12/2022,64.92,65.08,60.62,61.94,4305412
06/12/2022,62,62.39,60.22,61.89,2658124
07/12/2022,62.13,63.88,61.085,61.66,4468789
08/12/2022,62.34,65,60.51,63.82,2769948
09/12/2022,63.47,65.87,62.95,64.42,3051428
12/12/2022,64.68,68.73,64.22,68.49,4524922
13/12/2022,73.08,74.18,68.1,70.52,6229643
14/12/2022,70.52,72.35,69.6201,70.91,2549370
15/12/2022,69.42,71.43,67.76,67.98,3919642
16/12/2022,67.56,68.99,66.4,67.92,6281852
19/12/2022,67.95,68.28,64.8,65.35,2168196
20/12/2022,64.09,67.05,63.5,66.27,2171366
21/12/2022,65.89,68.13,61.71,67.94,3529593
22/12/2022,66.53,68.33,65.6,67.81,2761842
23/12/2022,66.62,67.1,65.23,67.04,1693552
27/12/2022,65.66,66.22,64.4912,64.96,1434859
28/12/2022,64.645,66.26,64.52,65.38,1477168
29/12/2022,66.295,68.9,65.38,68.37,1838733
30/12/2022,66.61,68.4896,66.28,68.33,1417568
03/01/2023,69.86,70.67,66.96,69.55,2074749
04/01/2023,71.04,71.7,69.25,70.18,2237081
05/01/2023,69.05,69.1,66.115,66.76,2580170
06/01/2023,65.77,68.375,64.66,68.03,2684094
09/01/2023,69.88,70.95,67.92,69.02,2339789
10/01/2023,68.38,69.63,67.12,67.99,2733472
11/01/2023,67.41,67.79,64.61,64.9,4235330
12/01/2023,63.04,65.9,62.4,65.85,3900917
13/01/2023,64.84,70.13,64.6299,69.76,3635861
17/01/2023,69.77,71.2,67.325,71.12,2696155
18/01/2023,72,72.59,68.49,68.59,2479706
19/01/2023,67.28,68.18,65.661,67.67,2173383
20/01/2023,68.5,69.02,66.92,68.7,2166618
23/01/2023,69.38,70.3078,67.89,69.83,2692694
24/01/2023,70.22,72.0388,68.52,68.7,2365038
25/01/2023,66.7,68.4399,64.67,67.96,2448131
26/01/2023,69.14,70.08,67.46,69.99,1993663
27/01/2023,69.29,72.3583,69,71.38,1728804
30/01/2023,74,74,69.16,69.21,2322858
31/01/2023,69.21,74.4,68.92,73.61,3275374
01/02/2023,73.5,76.765,71.04,76.15,3537853
