Date,Open,High,Low,Close,Volume,Average Score,7 MA
28/08/2023,178.98,179.48,177.45,179.08,42720722,0.588,0.654
29/08/2023,178.59,183.76,178.4,182.99,52363480,0.64,0.651
30/08/2023,183.8,186.69,183.6,186.5,60585683,0.585,0.639
31/08/2023,186.68,187.96,186.33,186.71,60205084,0.657,0.643
01/09/2023,129.11,132.03,128.54,128.8,70496600,0.394,0.432
02/09/2023,152.18,152.73,148.86,149.3,54893763,0.6,0.441
03/09/2023,152.2,153.16,148.89,149.25,53450431,0.463,0.477
05/09/2023,171.52,172,170.08,170.25,45129781,0.913,0.637
06/09/2023,180.14,180.86,179.28,179.6,48781462,0.36,0.554
08/09/2023,179.51,179.57,175.68,176.86,57796758,0.413,0.597
10/09/2023,175.72,177.95,174.72,177.89,42260804,0.524,0.431
11/09/2023,181.83,182.99,180.69,181.29,52447104,0.481,0.475
13/09/2023,175.42,176.21,172.91,173.14,83448143,0.498,0.37
14/09/2023,172.93,175.02,172.51,174.66,59632609,0.518,0.433
15/09/2023,175.39,175.41,172.75,173.93,106446367,0.368,0.449
18/09/2023,175.39,178.28,175.09,176.88,65111659,0.615,0.541
19/09/2023,176.43,178.52,176.04,177.97,50487694,0.6,0.562
20/09/2023,178.16,178.59,174.32,174.41,55703295,0.548,0.569
21/09/2023,173.48,175.22,172.79,172.86,63074590,0.588,0.579
22/09/2023,173.6,175.99,172.98,173.71,56410389,0.492,0.597
25/09/2023,173.13,175.88,173.08,175,45986485,0.484,0.533
26/09/2023,173.74,174.12,170.6,170.9,64233121,0.202,0.476
27/09/2023,171.56,171.98,168.01,169.38,66863167,0.701,0.498
28/09/2023,168.3,170.97,166.59,169.64,56139626,0.446,0.478
29/09/2023,170.96,172.01,169.29,170.16,51623525,0.45,0.472
01/10/2023,128.91,129.9,126.79,129.37,63427651,0.465,0.47
02/10/2023,148.13,150,147.9,149.67,57344154,0.494,0.475
03/10/2023,148.88,149.6,146.3,147.18,68163699,0.172,0.457
04/10/2023,159.99,160.59,158.66,160.59,47026287,0.328,0.418
05/10/2023,171.49,172.49,170.38,172.02,53596681,0.559,0.619
07/10/2023,187.84,188.57,185.63,187.2,59094573,0.488,0.556
08/10/2023,178.14,179.4,176.27,176.64,52636167,0.841,0.651
10/10/2023,177,178.61,176.86,177.29,43602886,0.662,0.454
11/10/2023,183.07,185.66,182.64,185.49,66073589,0.557,0.495
13/10/2023,180.3,180.81,177.04,177.75,51080321,0.479,0.492
16/10/2023,175.66,177.97,175.42,177.62,52170957,0.554,0.557
17/10/2023,175.56,177.32,173.72,176.06,57417681,0.523,0.537
18/10/2023,174.5,176.48,174.03,174.76,54488404,0.649,0.532
19/10/2023,174.96,176.75,174.11,174.38,57623744,0.548,0.544
20/10/2023,174.23,174.34,171.58,171.82,63071326,0.614,0.563
23/10/2023,169.86,172.94,168.88,171.94,55238499,0.341,0.533
24/10/2023,171.99,172.6,170.4,172.37,43579252,0.666,0.554
25/10/2023,170.82,172,169.6,170.05,56547398,0.522,0.536
26/10/2023,169.32,170.32,164.65,165.86,69284597,0.35,0.507
27/10/2023,165.88,167.92,165.8,167.19,58295508,0.376,0.473
30/10/2023,167.98,170.12,167.83,169.24,50469710,0.572,0.507
