Date,Close/Last,Volume,Open,High,Low
28/09/2021,113.08,5888074,119.33,119.33,112.8
27/09/2021,122.81,4487451,127.99,128.6,121.73
24/09/2021,130.36,3902656,130.77,132.99,127.81
23/09/2021,135.67,3859443,136.97,137,130.82
22/09/2021,136.97,3002442,130.6,137.07,130.4
21/09/2021,130.4,1834302,128.99,131.4001,127.76
20/09/2021,127.19,2335383,125.28,129.42,124.84
17/09/2021,131.41,6356737,133,134.54,130.51
16/09/2021,133.49,3107029,129,133.95,128.1034
15/09/2021,128.55,2191251,126.52,128.835,125.08
14/09/2021,126.76,2925884,125.21,128.92,125.21
13/09/2021,124.7,3100651,127.99,128.27,120.83
10/09/2021,127.48,1734396,129.31,130.44,127.39
09/09/2021,127.99,1967084,129,131.32,127.95
08/09/2021,128.18,1884419,130.42,131.18,126.51
07/09/2021,131.28,2196451,131.01,132.09,127.6113
03/09/2021,130.44,2441073,128.48,131.594,128.0393
02/09/2021,128.61,2171976,128,129.6218,126.18
01/09/2021,126.86,5168700,120,129.67,119.27
31/08/2021,120.74,3166443,123.42,123.44,120.37
30/08/2021,123.42,1849641,122.59,124.63,121.06
27/08/2021,123.57,1993766,122.47,124.97,121.5
26/08/2021,120.9,1619735,123.22,124.22,120.76
25/08/2021,123.24,1176879,124.39,125.43,122.81
24/08/2021,124.02,1361101,125,125.75,122.84
23/08/2021,124.18,1767053,121.16,124.34,120.1
20/08/2021,119.96,2463421,119,122.415,118.15
19/08/2021,118.15,2523651,115.89,120,115.0025
18/08/2021,116.93,2817527,118.99,119.32,116.54
17/08/2021,119.84,2435099,120.22,121.33,117.93
16/08/2021,120.38,3322313,119.52,120.992,116.64
13/08/2021,121.75,1732155,122.31,123.53,120.16
12/08/2021,122.23,5855602,117.4,125.78,117.0023
11/08/2021,119.01,7776822,123.25,124,116.38
10/08/2021,125.47,8163383,125.73,127.7,122.39
09/08/2021,123.43,4416196,117.98,125.46,117.13
06/08/2021,118.82,3405479,117.28,121.33,115
05/08/2021,121.46,3640276,118.98,122.235,117.8
04/08/2021,120,2451614,119.9,121.25,118.82
03/08/2021,119.57,1639949,118.79,120,117.42
02/08/2021,118.59,1983659,119.27,120.45,114.84
30/07/2021,118.63,2546536,119.38,122.08,117.99
29/07/2021,120.39,2455689,119.39,122.77,119.11
28/07/2021,119.75,2534914,116.39,119.93,115.87
27/07/2021,115.47,2169487,116.57,116.9922,112.27
26/07/2021,116.73,1770731,116.93,117.49,115.25
23/07/2021,117.24,2369831,114.05,117.4,112.53
22/07/2021,113.77,2898881,110.16,115.38,109.76
21/07/2021,109.52,1731752,107.01,109.78,105.61
20/07/2021,107.68,2616962,104.49,108.66,102.3
19/07/2021,105.52,2869517,101,106.63,99.5138
16/07/2021,102.66,1942152,103.6,104.2581,101.35
15/07/2021,102.67,2343178,104.07,106,101.39
14/07/2021,104.38,2687538,107.68,108.78,103.7
13/07/2021,106.51,1491924,107.68,108.92,105.95
12/07/2021,107.28,2810127,110.3,111.9699,106.06
09/07/2021,108.97,1909349,108.39,109.4699,105.66
08/07/2021,108.78,2634300,103.77,109.68,101.7001
07/07/2021,108.35,2726265,109.92,110.9441,106.8
06/07/2021,108.93,3269180,106.41,109.2,106.02
02/07/2021,106.02,1455385,105.85,107.6,105.3
01/07/2021,104.39,2520694,106,106.47,103.28
30/06/2021,105.84,2286367,107.04,107.45,105.76
29/06/2021,107.6,1853668,105.33,108,104.85
28/06/2021,106.04,2400955,105.78,106.6352,104.12
25/06/2021,104.84,10476940,105,106.22,102.53
24/06/2021,104.57,5234160,104.74,109.98,103.87
23/06/2021,103.74,3066723,102.79,104.17,102.13
22/06/2021,102.57,4082635,101,103.24,100.66
21/06/2021,101.08,4244956,100.98,101.85,96.61
18/06/2021,101.68,7301634,102.3,102.4464,98.8
17/06/2021,100.69,6651341,94.41,101.29,94
16/06/2021,94.76,3671699,92.71,95.21,92
15/06/2021,93.4,3112344,94.33,95.84,92.82
14/06/2021,95.64,4320682,94.7,97.325,93.67
11/06/2021,94,2712436,92.94,94.4,92.21
10/06/2021,93.47,3369121,90,93.645,88.81
09/06/2021,90.13,2782890,89.78,90.8,87.71
08/06/2021,89.78,4686787,86.84,90.84,86.84
07/06/2021,85.84,3186203,83.07,86.15,82.2
04/06/2021,83.08,1496613,82.81,84.1,82.7238
03/06/2021,81.92,1588300,83.24,83.38,80.45
02/06/2021,83.86,1983256,83.13,84.12,82.5
01/06/2021,83.07,2976420,82.33,83.36,80.32
28/05/2021,82.06,2400405,82.42,83.8,81.96
27/05/2021,82.81,6704807,80.35,83,78.1
26/05/2021,79.88,2772422,80,81.07,79.41
25/05/2021,79.59,3323218,79.5,80.73,78.94
24/05/2021,78.88,3006135,75.85,79.409,75.18
21/05/2021,74.8,2854455,75.12,75.79,73.39
20/05/2021,74.5,3931086,71.49,74.74,71
19/05/2021,70.79,4239220,68.665,70.83,68.16
18/05/2021,72.43,3505051,72.65,73.92,71.59
17/05/2021,70.96,2701859,69,71.59,68.9
14/05/2021,72.3,2806985,67.22,72.64,67.22
13/05/2021,66.65,3311785,70.05,71.43,65.62
12/05/2021,69.69,3186494,70.86,71.45,68.1651
11/05/2021,71.29,5620510,64.95,71.74,64.84
10/05/2021,68.87,6297070,69.9,70.55,66.75
07/05/2021,71.62,7155745,74.93,78.22,71.14
06/05/2021,69.07,10109570,73.9,75.5641,67.43
05/05/2021,79.02,4467018,81.04,82.06,77.5
04/05/2021,80.19,5738658,81.49,82.72,79.03
03/05/2021,84.06,4926484,84.82,85.38,82.2
30/04/2021,84.74,4159728,84.09,86.16,82.69
29/04/2021,84.89,3797225,87,87,83.365
28/04/2021,86.16,3484478,86.13,86.57,83.85
27/04/2021,87.01,5852085,84.83,88.04,84.77
26/04/2021,84.76,5258589,81.5,85,80.8901
23/04/2021,82.72,7112458,77.76,83.47,76.52
22/04/2021,75.43,4023768,74.92,78.015,74.51
21/04/2021,73.78,1898762,71.18,74,70.51
20/04/2021,72.39,3419949,74.11,74.37,70.9
19/04/2021,73.3,2494187,73.8,75.49,71.71
16/04/2021,74.24,3597328,78.16,79.02,73.43
15/04/2021,78.09,4165599,75.7,78.83,75.6
14/04/2021,74.57,4760560,77.9,77.97,74.4
13/04/2021,77.61,13151700,70.39,79.81,69.84
12/04/2021,69.73,2268230,69.75,70.69,68.31
09/04/2021,70.88,3472439,72.51,72.67,69.9
08/04/2021,72.36,5341158,71.23,73.36,70.66
07/04/2021,70.05,5729901,72.07,72.12,69.51
06/04/2021,72.21,1845467,70.8,73.73,70.8
05/04/2021,71.17,2299101,72.58,72.99,70.04
01/04/2021,71.79,2020491,73.17,74.22,71.54
31/03/2021,70.26,2872566,67.2,71.43,67.02
30/03/2021,65.8,3499674,64.77,66.2409,63.25
29/03/2021,65.63,2276555,67.18,67.915,64.91
26/03/2021,67.57,2118189,67.82,68.92,64.75
25/03/2021,66.65,4097094,65.37,67.42,64.02
24/03/2021,67.83,3828750,75,75,67.8
23/03/2021,72.37,2121220,73.33,74.065,71.9602
22/03/2021,72.76,1935364,72,74.05,71.37
19/03/2021,71.69,6369629,71.09,72.02,69.58
18/03/2021,70.42,3729104,73.82,73.895,69.3274
17/03/2021,74.82,2631230,71.95,75.75,70.76
16/03/2021,74.04,2949766,75.64,77.04,72.8
15/03/2021,75.15,2673124,76,76.15,73.83
12/03/2021,76.3,3228985,73.77,76.34,72.04
11/03/2021,76.61,4746875,73.56,76.78,72.38
10/03/2021,70.49,6062868,71.22,72.34,68.97
09/03/2021,69.43,6089806,65.78,69.73,63.8535
08/03/2021,61.77,6720150,65.69,68.05,61.77
05/03/2021,67.03,9858119,67.15,67.39,60.96
04/03/2021,67.3,7396069,70,72.15,64.75
03/03/2021,70.83,3560504,74.9,75.58,70.06
02/03/2021,75.5,5204068,77.2,77.49,74.48
01/03/2021,76.9,3262311,75.41,77.17,74.43
26/02/2021,73.97,7740707,72.4,74.29,70.86
25/02/2021,71.72,4565070,75.54,76.23,70.565
24/02/2021,76.43,4900424,75.99,76.61,73.15
23/02/2021,77.28,6740268,74.5,77.37,70.7038
22/02/2021,78.38,4310795,81.49,82.67,78.28
19/02/2021,82.17,4910093,84,85.82,81.63
18/02/2021,82.79,5202306,83.01,85.25,81.6
17/02/2021,84.4,5794797,82.62,87.06,80.2618
16/02/2021,82.07,7335329,84.81,84.925,81.02
12/02/2021,85.95,10650360,86.32,87.57,83.33
11/02/2021,91.28,5335017,92.77,93,89.34
10/02/2021,90.91,4522487,94.77,95.77,87.33
09/02/2021,93.46,4914174,91.09,94.82,90.2218
08/02/2021,91.13,5884675,87,91.95,86.3492
05/02/2021,85.56,3250097,83.5,85.94,82.93
04/02/2021,83.04,1833749,82.56,83.97,81.75
03/02/2021,82.34,2622092,84.38,84.8,82.07
