Date,Open,High,Low,Close,Volume
07/12/2021,154.04,156.4,147.327,153.5,5242992
08/12/2021,153.008,157.48,146.12,153.94,4894760
09/12/2021,152.83,153,136.86,140,7244028
10/12/2021,142.01,146.69,138.26,139.47,3691212
13/12/2021,138.68,140.4,130.88,139.75,6532548
14/12/2021,139.33,142.58,135.6,140,4542062
15/12/2021,136.69,141,133.05,140.74,5035406
16/12/2021,143.6,145.8626,131.565,133.74,5255214
17/12/2021,130.21,138.71,127.21,138.41,6060566
20/12/2021,133.79,139.3,131.59,137.29,2979035
21/12/2021,139.03,146.1,137.89,145.84,3515302
22/12/2021,146.12,148.68,142.951,144.89,2329286
23/12/2021,143.79,146.98,140.3,145.57,1846600
27/12/2021,146.55,149.38,144.51,148.01,2566595
28/12/2021,148.45,150.64,141.72,143.52,2088011
29/12/2021,143.52,145.21,139.5,144.55,1635956
30/12/2021,144.74,148.79,144.56,145.92,1883134
31/12/2021,146.15,147.34,142.77,142.99,1490130
03/01/2022,143.96,144.69,135.58,138.65,2888263
04/01/2022,138.9,139,125.15,129.73,5780363
05/01/2022,128,132.68,119.71,121.01,5179893
06/01/2022,118.9,124,114.12,119.75,5346036
07/01/2022,120.11,126.39,118.3,120.38,3150563
10/01/2022,120.18,126.55,115.34,126,4735017
11/01/2022,125.5,132,123.8143,129.71,3281207
12/01/2022,133.12,136.6,127.4,129.15,3842525
13/01/2022,127.31,128.33,116.54,116.58,4969090
14/01/2022,116.28,119.9799,114.66,117.92,4719822
18/01/2022,115.45,120.4,112.05,112.64,5647687
19/01/2022,111.03,116.91,110.0287,113.07,4158924
20/01/2022,114.34,119.74,113.1152,113.56,3735143
21/01/2022,111.98,114.98,106.46,106.79,5467633
24/01/2022,100.78,111.78,96.1,110.92,7909158
25/01/2022,108.31,108.93,102.07,104.07,4738115
26/01/2022,107.31,109.62,98.2,99.5,5991474
27/01/2022,102,102.32,94.1,94.7,5504455
28/01/2022,92.99,97.22,90.11,94.92,6202221
31/01/2022,96.2,105.71,95.34,105.15,5114945
01/02/2022,107.97,108.91,101.81,107.8,4116601
02/02/2022,109.52,110.4116,99.3701,102.01,4491704
03/02/2022,96.99,98.7999,91.98,92.54,7357669
04/02/2022,101,111.02,93.886,108.66,14704610
07/02/2022,109.05,113.97,104.89,105.71,6141601
08/02/2022,104.13,108.7567,102.9,107.6,2836200
09/02/2022,109.5,115.81,109.12,115.51,4415507
10/02/2022,113.27,119.65,111.15,112.75,5087638
11/02/2022,112.8,117.72,109.02,111.35,4489184
14/02/2022,109.94,112.01,105.71,107.59,3902440
15/02/2022,110.8,114.15,109.34,113.58,3074708
16/02/2022,111.95,112,107.6,110.28,2814733
17/02/2022,109.25,110.1499,101.45,102.27,3420666
18/02/2022,103.16,105.14,98.65,99.09,3985837
22/02/2022,97.5,101.94,95.33,96.15,3336084
23/02/2022,96.52,98.9999,94.12,94.17,3577095
24/02/2022,89.79,103.56,89.27,103.18,5873801
25/02/2022,102.44,104.39,98.72,104.04,3069925
28/02/2022,105,107.62,102.46,106.45,4102017
01/03/2022,106.76,108.53,103.01,103.98,2017016
02/03/2022,104.58,105,98.11,101.37,2888528
03/03/2022,100.9,101.185,94.15,94.92,3408753
04/03/2022,97.16,97.235,88.0605,89.01,4272832
07/03/2022,89.99,92.75,81.7,81.8,4400686
