Date,Close,Volume,Open,High,Low,avg,7ma,
20/06/2024,186.10,44726780.00,182.91,183.90,176.80,0.88,0.697,
18/06/2024,182.81,36659160.00,183.74,184.29,181.43,0.468,0.715,
17/06/2024,184.06,35601910.00,182.52,185.00,181.22,0.694,0.774,
14/06/2024,183.66,25456410.00,183.08,183.72,182.23,0.738,0.858,
13/06/2024,183.83,39721550.00,186.09,187.67,182.67,0.96,0.858,
12/06/2024,186.89,23456810.00,187.05,187.78,185.61,0.815,0.85,
11/06/2024,187.23,27265110.00,187.06,187.77,184.54,0.882,0.856,
10/06/2024,187.06,34494500.00,184.07,187.23,183.79,0.78,0.872,
07/06/2024,184.30,28021470.00,184.90,186.19,183.45,0.735,0.823,
06/06/2024,185.00,31371150.00,181.75,185.00,181.22,0.906,0.822,
05/06/2024,181.28,32116390.00,180.10,181.50,178.75,0.86,0.793,
04/06/2024,179.34,27198390.00,177.64,178.30,176.16,0.988,0.76,
03/06/2024,178.34,30786640.00,177.70,178.70,175.92,0.718,0.736,
31/05/2024,176.44,58903940.00,178.30,179.21,173.87,0.724,0.767,
30/05/2024,179.32,29249230.00,181.31,181.34,178.36,0.706,0.78,
29/05/2024,182.02,32009290.00,181.70,184.08,181.55,0.626,0.79,
28/05/2024,182.15,29926960.00,179.93,185.86,178.00,0.821,0.805,
24/05/2024,180.75,27471640.00,181.65,182.44,180.30,0.814,0.778,
23/05/2024,181.05,33670170.00,183.66,184.76,180.08,0.78,0.776,
22/05/2024,183.13,43081830.00,181.14,184.93,180.11,0.729,0.78,
21/05/2024,183.15,50839130.00,182.30,183.26,180.75,0.819,0.768,
20/05/2024,183.54,30511770.00,184.34,186.67,183.28,0.901,0.762,
17/05/2024,184.70,33175660.00,183.76,185.30,183.35,0.804,0.752,
16/05/2024,183.63,38834450.00,185.60,187.31,183.46,0.802,0.747,
15/05/2024,185.99,75459930.00,185.97,186.72,182.73,0.645,0.742,
14/05/2024,187.07,38698160.00,183.82,187.72,183.45,0.778,0.764,
13/05/2024,186.57,24898610.00,188.00,188.31,185.36,0.833,0.754,
10/05/2024,187.48,34141770.00,189.16,189.89,186.93,0.768,0.72,
09/05/2024,189.50,43368380.00,188.88,191.70,187.44,0.772,0.725,
08/05/2024,188.00,26136350.00,187.44,188.43,186.39,0.795,0.712,
07/05/2024,188.76,34048900.00,188.92,189.94,187.31,0.709,0.704,
06/05/2024,188.70,34725300.00,186.28,188.75,184.80,0.503,0.702,
03/05/2024,186.21,39172000.00,186.99,187.87,185.42,0.807,0.766,
02/05/2024,184.72,54303510.00,180.85,185.10,179.91,0.678,0.74,
01/05/2024,179.00,94645150.00,181.64,185.15,176.56,0.74,0.747,
30/04/2024,175.00,94639790.00,181.09,182.99,174.80,0.698,0.734,
29/04/2024,180.96,54063940.00,182.75,183.53,179.39,0.907,0.749,
26/04/2024,179.62,43919770.00,177.80,180.82,176.13,0.63,0.751,
25/04/2024,173.67,49249390.00,169.68,173.92,166.32,0.725,0.775,
24/04/2024,176.59,34185110.00,179.94,180.32,176.18,0.648,0.781,
23/04/2024,179.54,37046520.00,178.08,179.93,175.98,0.8,0.822,
22/04/2024,177.23,37924890.00,176.94,178.87,174.56,0.888,0.81,
19/04/2024,174.63,56000730.00,178.74,179.00,173.44,0.796,0.806,
18/04/2024,179.22,30723790.00,181.47,182.39,178.65,0.769,0.793,
17/04/2024,181.28,32116390.00,180.10,181.50,178.75,0.936,0.789,
16/04/2024,183.32,32891270.00,183.27,184.83,182.26,0.717,0.761,
15/04/2024,183.62,48052400.00,187.43,188.69,183.00,0.783,0.782,
12/04/2024,186.13,38608850.00,187.72,188.38,185.08,0.701,0.716,
11/04/2024,189.05,40020740.00,186.74,189.77,185.51,0.747,0.72,
10/04/2024,185.95,35879150.00,182.77,186.27,182.67,0.738,0.7,
09/04/2024,185.67,36546950.00,187.24,187.34,184.20,0.862,0.686,
08/04/2024,185.19,39221280.00,186.90,187.29,184.81,0.81,0.678,
05/04/2024,185.07,42373990.00,182.38,186.27,181.97,0.731,0.714,
04/04/2024,180.00,41624260.00,184.00,185.10,179.91,0.609,0.693,
03/04/2024,182.41,31046640.00,179.90,182.87,179.80,0.638,0.719,
02/04/2024,180.69,32611550.00,179.07,180.79,178.38,0.808,0.77,
01/04/2024,180.97,29174520.00,180.79,183.00,179.95,0.685,0.729,
28/03/2024,180.38,38051590.00,180.17,181.70,179.26,0.79,0.788,
27/03/2024,179.83,33272550.00,179.88,180.00,177.31,0.993,0.8,
26/03/2024,178.30,29658980.00,180.15,180.45,177.95,0.526,0.744,
25/03/2024,179.71,29815460.00,178.01,180.99,177.24,0.83,0.776,
22/03/2024,178.87,27995380.00,177.75,179.26,176.75,0.779,0.739,
21/03/2024,178.15,32824320.00,179.99,181.42,178.15,0.879,0.711,
20/03/2024,178.15,32824320.00,179.99,181.42,178.15,0.6,0.68,
19/03/2024,175.90,26880890.00,174.22,176.09,173.52,0.749,0.688,
18/03/2024,174.48,31250690.00,175.80,176.69,174.28,0.899,0.68,
15/03/2024,174.42,72147390.00,176.64,177.93,173.90,0.584,0.723,
14/03/2024,178.75,43705840.00,177.69,179.53,176.47,0.659,0.777,
13/03/2024,176.56,30772600.00,175.90,177.62,175.55,0.659,0.818,
12/03/2024,175.39,36610600.00,173.50,176.76,171.98,0.694,0.811,
11/03/2024,171.96,28484780.00,174.31,174.47,171.47,0.682,0.833,
08/03/2024,175.35,37893240.00,176.44,178.79,174.33,0.962,0.769,
07/03/2024,176.82,34063280.00,174.83,177.99,173.72,0.947,0.774,
06/03/2024,173.51,32090930.00,175.54,176.46,173.26,0.609,0.756,
05/03/2024,174.12,37228340.00,176.93,176.93,173.30,0.845,0.779,
04/03/2024,177.58,37381520.00,177.53,180.14,177.49,0.721,0.729,
01/03/2024,178.22,31129810.00,177.64,178.30,176.16,0.997,0.764,
29/02/2024,176.76,53805360.00,173.01,177.22,172.85,0.825,0.73,
